,bm
2012-09-04,-0.011342698
2012-09-05,0.015297943
2012-09-06,-0.002824991
2012-09-07,0.007553827
2012-09-10,0.007497194
2012-09-11,0.008372494
2012-09-12,0.011070637
2012-09-13,0.012773526
2012-09-14,0.0
2012-09-17,-0.00090173
2012-09-18,0.0018027260000000002
2012-09-19,-0.0035989629999999997
2012-09-20,-0.000904174
2012-09-21,0.005425216
2012-09-24,-0.012589746
2012-09-25,-0.001820785
2012-09-26,0.008212065
2012-09-27,-0.0045266790000000005
2012-09-28,0.001819858
2012-10-01,0.00272245
2012-10-02,-0.0045266790000000005
2012-10-03,0.0
2012-10-04,0.0
2012-10-05,-0.004544881
2012-10-08,-0.019178999999999998
2012-10-09,-0.00744834
2012-10-11,-0.004689839
2012-10-12,0.006598688
2012-10-15,0.009362097
2012-10-16,-0.0037115629999999998
2012-10-17,-0.001861475
2012-10-18,-0.018656798999999998
2012-10-19,0.005703697
2012-10-22,-0.009794841
2012-10-23,0.007913383000000001
2012-10-24,-0.004905792
2012-10-25,-0.014004428999999999
2012-10-26,0.006201315
2012-10-29,0.007952706
2012-10-30,-0.011834939
2012-10-31,0.011976683
2012-11-01,-0.0029599820000000003
2012-11-02,0.001978346
2012-11-05,0.004937347
2012-11-06,-0.005894216999999999
2012-11-07,-0.00494222
2012-11-08,0.018867688
2012-11-09,-0.005845805999999999
2012-11-12,-0.020588068
2012-11-13,0.000999787
2012-11-14,-0.000998789
2012-11-15,0.007006105
2012-11-16,0.007952706
2012-11-19,-0.004932472
2012-11-20,-0.002972148
2012-11-21,0.004969185
2012-11-22,0.024728071
2012-11-23,0.007722422
2012-11-26,0.0038316220000000002
2012-11-27,0.004770039
2012-11-28,0.008548670999999999
2012-11-29,0.00847383
2012-11-30,-0.009337564
2012-12-03,0.00471398
2012-12-04,0.008442031
2012-12-05,-0.0018605639999999999
2012-12-06,0.004658901
2012-12-07,-0.004637296
2012-12-10,0.002794869
2012-12-11,0.009294183000000001
2012-12-12,0.0055251580000000005
2012-12-13,-0.007326396999999999
2012-12-14,-0.008301862
2012-12-17,0.0037211270000000003
2012-12-18,-0.011121995
2012-12-19,-0.005623543000000001
2012-12-20,-0.008481826999999999
2012-12-21,0.005703724
2012-12-22,-0.0028368829999999997
2012-12-24,0.016113415
2012-12-25,-0.007460733000000001
2012-12-26,0.009396611
2012-12-27,0.005586895
2012-12-28,0.016667564
2013-01-02,-0.0009119460000000001
2013-01-03,-0.005467453000000001
2013-01-04,-0.010084178000000001
2013-01-07,-0.004628708
2013-01-08,0.010231924
2013-01-09,0.007366876999999999
2013-01-10,-0.012797755
