,bm
2011-04-25,-0.002436629
2011-04-26,-0.004066543
2011-04-27,0.015521733999999999
2011-04-28,0.0
2011-04-29,-0.00241288
2011-05-03,0.002418716
2011-05-04,-0.005630783
2011-05-05,0.007281831
2011-05-06,-0.0048201879999999996
2011-05-09,0.005648961
2011-05-10,0.0
2011-05-11,-0.00401106
2011-05-12,0.003223085
2011-05-13,-0.00321273
2011-05-16,-0.012088213
2011-05-17,-0.000816185
2011-05-18,0.005715744
2011-05-19,-0.008929892
2011-05-20,0.000819528
2011-05-23,-0.012273952
2011-05-24,0.0016558120000000002
2011-05-25,-0.003308399
2011-05-26,0.009958141
2011-05-27,-0.004108873
2011-05-30,-0.001648984
2011-05-31,0.024793593
2011-06-01,0.005644403
2011-06-02,-0.007217603
2011-06-03,0.004847449
2011-06-07,0.0
2011-06-08,-0.003215315
2011-06-09,0.0
2011-06-10,-0.023386773
2011-06-13,-0.01321397
2011-06-14,0.016738077
2011-06-15,-0.004115632
2011-06-16,-0.018182268
2011-06-17,-0.00336688
2011-06-20,-0.010134763
2011-06-21,0.007679476
2011-06-22,0.00253955
2011-06-23,-0.009289625
2011-06-24,-0.007672925
2011-06-27,-0.006872595
2011-06-28,-0.002596822
2011-06-29,0.017347788
2011-06-30,0.0034099309999999997
2011-07-01,0.014443536000000002
2011-07-04,0.005861857
2011-07-05,-0.00166635
2011-07-06,0.010842548
2011-07-07,-0.004123582
2011-07-08,-0.004971941
2011-07-11,-0.006660871
2011-07-12,-0.015927356
2011-07-13,0.0
2011-07-14,0.003407033
2011-07-15,0.005094351
2011-07-18,-0.0033782540000000002
2011-07-19,-0.001696005
2011-07-20,0.026316579
2011-07-21,0.0024807370000000002
2011-07-22,0.006600423
2011-07-25,-0.009835715
2011-07-26,0.013246807
2011-07-27,0.002450332
2011-07-28,-0.008150765
2011-07-29,-0.015611036000000002
2011-08-01,0.007512807
2011-08-02,-0.013257759
2011-08-03,-0.015951836
2011-08-04,-0.0127999
2011-08-05,-0.058772932
2011-08-08,-0.017445954
